id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothing,Eyes,Head,Mouth
4,38,8120,0,https://solanart.io/search/?token=6PMb6zJPSpziwnqPuYfW4Y6PvxMdGjNm9DoRfQmc8Rh1,Blue,Naked,Sliced Cutoff,Wide Eyed,Headset,Amused
9,22.700001,6387,46.44,https://solanart.io/search/?token=CzsHMxirQknYM2DoJRdVMFcn4Bx6EDd8ccMmPzub61LT,Lilac,Scarred,Windbreaker,Wide Eyed,Horned Cap,Cigarette
23,48,6213,0,https://solanart.io/search/?token=3LvMUXXeJcybUJm1U7HMnh8scGpNhZfxi9EU1JDwsxrk,Mint,Naked,Knitted Tee,Polarized Sunglasses,Antlers,Sassy
27,30,8947,0,https://solanart.io/search/?token=22fwb3E2ETMz9Grn35PZGgqpgAQtyJLWuYwWJrgmj8Rz,Blue,Scarred,Tri-Color Zip-Up,Hockey Mask,None,Tnt
42,45.549999,1899,0,https://solanart.io/search/?token=Bjqtiu2gZ5xiPyerkDMbrWMe4uy5ZMAMGm5Tay1Dxr2S,Mint,Robot,Cardigan Sweater,Enucleated,Bucket Hat,Cigar
50,100,2731,0,https://solanart.io/search/?token=HW2CQr9gD368JPZ1BYFvWY3jn8iGNpRxC33gNBSEpZRh,Green,Mutated Zombie,Half Zip Pullover,Wide Eyed,Propeller Hat,Cigar
56,44.689999,2188,0,https://solanart.io/search/?token=Gnib2QPttL8DuByk5QJuyX8QJcQDDg3cdPggxeimRqF3,Red,Skeleton,Color Block Zip-Up Jacket,Reading Glasses,Headshot,Tnt
58,78,4813,0,https://solanart.io/search/?token=9eiKdxNEZQNZdpXijkrKuLeAb9aheZcXyyVUURHUXx6D,Lilac,Intestines,Sleeveless Hoodie,Enucleated,Drummer,Dumbfounded
63,39,275,0,https://solanart.io/search/?token=Bux7xWzNjTm3MD5my7JZgJ1mHfJyuEz2AacdU3qPbdjc,Green,Caution Tape,Alchemist Jacket,Eyeball,Headshot,Vampire
65,45,5862,0,https://solanart.io/search/?token=9hG2aUgjahJdR1ctjMMjHpUHk2H139h4cuPM8piGJyM6,Blue,Scarred,Winter Jacket,Classy Glasses,P-Cap,Content
72,39,8110,0,https://solanart.io/search/?token=8H5EVKv9YnvWEZK9dL9yMoPsQKtXaDSYha1V5dKG6WmT,White,Tribesman,Winter Coat,Vr Headset,None,Vampire
