id,price,moonRank,💎 score (%),storeURL,Background,Base,Chest Trait 1,Chest Trait 2,Chest Trait 3,Chimney,Door,Easter Head Base,Easter Head Nose,Roof,Trait 1,Trait 2,Trait 3,Unique,Wall,Walls,Window,Windows
30,12,1638,0.28,https://magiceden.io/item-details/FF9ntEJ9GHoJAJ8ahV64hiuH3vi8Bf5dk9cJc5foSAk7,,Fancy Bucket,,,,,Pest,,,Siren,None,Glowing Barred Window,Green Window,,,,,
76,6.25,1990,53.55,https://magiceden.io/item-details/8deTLjq97qnnhtRz4VpRaZypLjnR4zBgqtsEkHB2uMd1,,Bucket,,,,,Pest,,,Pot Lid,None,Glowing Light,Green Barred Window,,,,,
117,8.75,756,43.4,https://magiceden.io/item-details/AB4NjxXct2R1y3mTBkkfN3pAX4VQcoVPGWfAu6FjjGeS,Outskirts,Fancy Bucket,,,,,Steel,,,Steel Chimney,Drainage Pipe,Glowing Window,Green Barred Window,,,,,
126,6.5,628,67.44,https://magiceden.io/item-details/9hLKyMhcoJrKWWSf5T82A6aJ16HbqZwdA8itaRGG6Ts4,,Bucket,,,,,Watcher,,,Pot Lid,Scrap Drainage Pipe,Glowing Window,None,,,,,
151,4.88,2608,59.81,https://magiceden.io/item-details/F3FEKzNmAFxkHRP68mQvMiUs6yvq2eQbZs1WhfL9jBcP,,Fine Bucket,,,,,Pest,,,None,Duck foot,None,None,,,,,
188,4.89,2192,64.71,https://magiceden.io/item-details/9hAp2ftxvxawtuShCrHKbpNVXZZBzk2cMoUDYdgH619H,Outskirts,Fine Bucket,,,,,Watcher,,,None,None,Glowing Light,Green Barred Window,,,,,
215,10,1784,18.53,https://magiceden.io/item-details/3kKxSvdCM2A8QdqvAiQJ1w7MZspteb7JMbRYjezGaDDr,,Fine Bucket,,,,,Hatch,,,None,Scrap Drainage Pipe,Glowing Barred Window,None,,,,,
220,5.5,825,75.07,https://magiceden.io/item-details/4mH3kX9r2RHbBdpJbisaQc65j6tjeSCtjgnVatJrprzQ,,Fine Bucket,,,,,Hatch,,,Pot Lid,Duck foot,Glowing Barred Window,Green Barred Window,,,,,
228,5.5,2252,57.89,https://magiceden.io/item-details/AsEtZG4Q8MPFf8Hy8jTEXTcSwqcAcUPwqpKjyh4DUjHE,,Fancy Bucket,,,,,Steel,,,None,Duck foot,Glowing Light,Green Window,,,,,
237,7.49,529,58.73,https://magiceden.io/item-details/CAHAqTUyqJ8MzaY3SxWdkQZmakbUpVmhoemHTwYTzjK6,Outskirts,Fancy Bucket,,,,,Watcher,,,Steel Chimney,Scrap Drainage Pipe,Glowing Window,Green Window,,,,,
280,4.2,668,89.96,https://magiceden.io/item-details/7oTJiWdpYgzsutP5TdSyUc4PHtpuG83jmspDmLJggG6q,Go to Shill City,Fancy Bucket,,,,,Pest,,,Steel Chimney,Green Light,Glowing Window,Green Barred Window,,,,,
326,4.25,1702,77.01,https://magiceden.io/item-details/33UomU3ECPSGx5Rsm5t46MEcrNN1U2PYKjQd6AfAcKHj,,Fine Bucket,,,,,Hatch,,,None,Drainage Pipe,Glowing Light,Green Barred Window,,,,,
333,5.65,3083,46.39,https://magiceden.io/item-details/MFUqM48dX6zDEGZ8XoBiSN3XTqm8ycqLmJSynbCkvVv,,Fine Bucket,,,,,Hatch,,,None,None,None,None,,,,,
345,4.75,509,86.37,https://magiceden.io/item-details/HuDApd7iNAtGLm7YfEAn4B1aCKxKGrKNdZdDZf5iKa1g,,Bucket,,,,,Watcher,,,Steel Chimney,Duck foot,Glowing Barred Window,Green Window,,,,,
350,4.75,3085,55.36,https://magiceden.io/item-details/5SLWfQJxvpmF5eQaiX2wTSfCJEeDSxj6eULGsZepBTHZ,,Fancy Bucket,,,,,Pest,,,None,None,None,None,,,,,
390,10,3015,3.71,https://magiceden.io/item-details/5LKCYTtFa83xAFDf9UaR3HTLXDtkTYSmbwG1VPMLAsJf,Outskirts,Fancy Trap House,,,,,Wood,,,None,Skylight,None,,,,,,
403,9.89,3218,2.36,https://magiceden.io/item-details/76tTcyR24VQJPVxSLyCqGmY74ZniyURYYTXX5n5GLhfL,Outskirts,Trap House,,,,,Steel,,,Drainage Pipe,None,Plumbing,,,,,,
447,7,2796,36.34,https://magiceden.io/item-details/9bTjQ6vZcA3wcbRDBGqEmEvUQCrtpEivcmL9UR5cCrPT,,Trap House,,,,,Open,,,Telescope,Amethyst Window,Plumbing,,,,,,
463,5.65,2589,52.34,https://magiceden.io/item-details/2jacoCACYCPfbD6oyyGrMDZaW8JNhoZiiugUrKdjaDL2,,Fancy Trap House,,,,,Steel,,,Drainage Pipe,Skylight,Plumbing,,,,,,
478,6.4,2859,41.59,https://magiceden.io/item-details/8HVVQQJ5p5JZNvSx538HYGS1X9tBMjjJ5wADH5qV3csV,,Fancy Trap House,,,,,Steel,,,Telescope,Amethyst Window,Plumbing,,,,,,
498,4.5,2202,68.49,https://magiceden.io/item-details/7979oSpLsNRDS3HAfpE1S6AguKn9Ga7QsbXRqNUFsxbc,,Reinforced Trap House,,,,,Swinging Doors,,,Pest,None,Plumbing,,,,,,
527,4.49,2626,63.49,https://magiceden.io/item-details/3YiiB3woMnhY5maUAxzMPEhhHMD4aXbU531yVnwPii3d,,Trap House,,,,,Swinging Doors,,,Drainage Pipe,Barred Window,Plumbing,,,,,,
532,5,2872,55.43,https://magiceden.io/item-details/HtfmA2sCv8cNrjR7bgaMb7bY8CFfBzJmpbxgpDnXFvw5,,Reinforced Trap House,,,,,Wood,,,Telescope,None,Plumbing,,,,,,
604,5,2878,55.36,https://magiceden.io/item-details/FYo7JN7mYfo72umEtV4H1V53pmtHrGqrozqxXxGSchTe,,Fancy Trap House,,,,,Wood,,,Drainage Pipe,None,Plumbing,,,,,,
656,6.49,3168,36.97,https://magiceden.io/item-details/CW3oQqDXfnDmvBeFkzCPMq2M2TJR962y2Q4iRY6b2Mvr,,Reinforced Trap House,,,,,Swinging Doors,,,Telescope,None,None,,,,,,
691,9.5,2865,10.51,https://magiceden.io/item-details/8UdTq4EzEvsnjdKfUbD72J5G9MVHXy3ZCM4im1h87PrU,,Fancy Reinforced Trap House,,,,,Open,,,Telescope,None,Duck Foot,,,,,,
714,9.99,1790,18.55,https://magiceden.io/item-details/AkWLymtBYv8Napj2jq2BR5QsnUs4Nj6K3r5NYgeEHtHc,Go to Shill City,Trap House,,,,,Wood,,,Pest,Skylight,Plumbing,,,,,,
719,5,3323,50,https://magiceden.io/item-details/BXtvi77dPSzXaTPLUXpoEMYxjfKpaDpUr2DPKVLJBUrV,,Toxic Waste Site,,,,,Steel,,,None,None,None,,,,,,
746,8.5,2393,26.19,https://magiceden.io/item-details/D3VRjwsFH5v3hY2TGCnMg16jZAhqeiQAvTYAqqubDAo5,Outskirts,Toxic Waste Barrel,,,,,Wooden,,,Scrap Chimney,Vent,None,,,,,,
806,6,3288,40.42,https://magiceden.io/item-details/cfYKBbAkdF6HKMmXMphBw4wty8dcHL1LHM75NFiUjT6,,Toxic Waste Site,,,,,Steel,,,None,Glowing Window,None,,,,,,
846,5.7,2918,47.88,https://magiceden.io/item-details/4ruQZJomxvDVMEgG6xP8ViPibdRe2orjHhuUUK8JR4BZ,Go to Shill City,Toxic Waste Barrel,,,,,Steel,,,Scrap Chimney,Glowing Window,None,,,,,,
852,4.85,2864,57.03,https://magiceden.io/item-details/4XCx5LEmi3v8DZApE3pyQndJz2PmUFBmYNi71bXknzPF,,Crushed Toxic Waste Barrel,,,,,Open,,,Roof Vent,Window,None,,,,,,
857,6,3216,41.29,https://magiceden.io/item-details/BZZ3M23KjqhpYeRUwAaUZvXvfyGvgLGAP8JJoxVSDr6,Outskirts,Toxic Waste Site,,,,,Hatch,,,Vent,None,None,,,,,,
903,4.5,2926,59.78,https://magiceden.io/item-details/8TVZAMqvxaorNecLA9P6hkcevkoPRWjmnWnMdopsPVmp,Go to Shill City,Toxic Waste Barrel,,,,,Steel,,,Roof Vent,Glowing Window,None,,,,,,
934,6.6,3232,35.1,https://magiceden.io/item-details/3RcgkTTY3m7AkEDuM5T8YwdcQB2EmQxa1LeA9E2qVndn,,Crushed Toxic Waste Barrel,,,,,Steel,,,None,Glowing Window,None,,,,,,
954,13.69,2917,0,https://magiceden.io/item-details/AHwsyfoYK7LBSxWgN3bLwEMqHMeTLZBDjBoSgmG3vrK6,,Toxic Waste Site,,,,,Wooden,,,None,Glowing Window,Glowing Light,,,,,,
979,6.9,2271,43.66,https://magiceden.io/item-details/Btyy94LsR8dXQvWBiVDpLK1Sj9dxFh9DyKseDL46cekm,Go to Shill City,Toxic Waste Barrel,,,,,Open,,,Scrap Chimney,Glowing Light,Glowing Light,,,,,,
985,4.15,3198,60,https://magiceden.io/item-details/9PKJBEbpFYQkEv78PQxxDLfE584tE6NfZjxFTFjVq7Gx,,Toxic Waste Barrel,,,,,Open,,,None,Glowing Window,None,,,,,,
998,4,2617,68.5,https://magiceden.io/item-details/6JMqLpHpDedrMMnM8xob3ZjcmCXxDDNKMoTba5Nfm2uJ,Outskirts,Toxic Waste Barrel,,,,,Open,,,Roof Vent,Pest,None,,,,,,
1018,5.5,2928,49.75,https://magiceden.io/item-details/6JjmxD5kmTjsUH6C3d5yHwzaSqDPtTwssboK766ZyAMZ,,Toxic Waste Barrel,,,,,Steel,,,Vent,Glowing Window,None,,,,,,
1022,4.79,3268,52.76,https://magiceden.io/item-details/5BCihMnUvdThqZH1jfZ6SQ46bRHDjHjRkoJd2E9rS5kP,,Toxic Waste Site,,,,,Wooden,,,None,Window,None,,,,,,
1041,4.95,2997,54.42,https://magiceden.io/item-details/72yzAA97kqPbMnRU1as2CynEPKpE5PwZGUEvb7G8dTb,,Toxic Waste Site,,,,,Open,,,Scrap Chimney,None,Glowing Light,,,,,,
