id,price,moonRank,💎 score (%),storeURL,Background,Body,Eyes,Face,Hat,Outfit
11,3333,4,0,https://solanart.io/search/?token=Huve9tQoYLFQeiTNdneBiEfGZYxCXWLmjSWc5B6G4YXE,Magenta Swirl,Inferno Trypophobia,Radioactive,Ten Strip,Ceremonial Hood,Ceremonial Hood
14,777,3,0,https://solanart.io/search/?token=8NEcwpkSZVzyf2BiZJ7hnWAcapxkQE6mF3K6y8bqXwVg,Dark Shroom,Drippy Sol,Radioactive,Substrate,Ceremonial Hood,Ceremonial Hood
15,380,5,0,https://solanart.io/search/?token=HYkpnuUjuX1ccKSJV3nKFUVzL1PUBkQLiph9MxDJPdWJ,Purple Swirl,Galaxy Trypophobia,Radioactive,Ten Strip,Ceremonial Hood,Ceremonial Hood
30,34,535,0,https://solanart.io/search/?token=GNQh52GEQqwj2viCycT4R53fMggq4PHoopMgCYs822Gc,Dark Shroom,Feathers,Alert Blue,Trippy Grill,Shroom Cap,Paisley Suit
64,120,2024,0,https://solanart.io/search/?token=GXXxG99CuVVfc6gPNqAH1NVrVzXVQDrWwdZ29j7abw1B,Cotton Candy,Blue Tryptamine,Rainbow Shades,Ten Strip,Field Hat,Mad Scientist
76,35,2762,0,https://solanart.io/search/?token=A3q9EmVxb3SsC22x5bcjYX814rQ1vB7GrurjPv6PEXuo,Lava Green,Drippy Blue,Wired,Rainbow Vomit,Paisley Cowboy,Tux Shirt
78,144,7292,0,https://solanart.io/search/?token=3QcTFLzN9XpNhd6L94pgyEvud5grz5jJ8CaJCeqEhhvF,Cloudy Orange,Purple Tryptamine,Sus,Gold Grill,Mad Hatter,Groovy Green
85,80,7034,0,https://solanart.io/search/?token=DS2LttMvz91NwgQZFY3rBpRic3j7PyXPMiVpSs218nmo,Sky Blue,Feathers,Blue Shades,Shout,Mohawk,Blue Tank
92,69,154,0,https://solanart.io/search/?token=7WweWvjJbHSLV8e7yRgJ4skf2BRWWRi6VUqe4MmZ9JR1,Blue Tryptamine,Skelly,Blue Hypno,Skull Shout,Cap,Black Robe
98,42.689999,4644,0,https://solanart.io/search/?token=8UFc7ZL9oPEiqVkKXq19XqyM2jTBpZLPjEYDJZEi4w6J,Shroom,Galaxy Trypophobia,3D Glasses,Eyeball,Valhalla Helm,I _3 Chorles
135,22,8377,36.35,https://solanart.io/search/?token=FzjKPehB62LmbxvPNvTFrEG7mn4RVX7FXAx3kkHTKiAc,Watercolor,Marble,3D Glasses,Snarl,Fedora,Groovy Blue
169,200,6552,0,https://solanart.io/search/?token=7ifMdZzcaqmbspWc4vzH5T9AmDV2WWynFJqy8VHKwH5i,Green Shroom,Blue Tryptamine,Blue Shades,Pipe,Beanie,Varsity
176,33.299999,2647,0,https://solanart.io/search/?token=Cc8tAdVoBYHsUhidMSLNwsJoAaqYbr9zLX7t7wYjpV6V,Cotton Candy,Purple Paranoia,Blue Swirl,Tats,Paisley Cowboy,Varsity
185,93,1860,0,https://solanart.io/search/?token=7PM9F9DfP1qsdQDFHuf89mnV7QpUu3NbzERRUDH9Vqbi,Shroom,Blue Tryptamine,Rainbow Madness,Quiet,Banana Split,Kimono
219,85,1202,0,https://solanart.io/search/?token=23MzT9U7yPiF5TJ644r7Eh9n4zDkGLv7eogz73XidLxA,Orange Flower,Phoenix,Aviators,Balloon Blue,Mind Blown,I _3 Chorles
232,36,337,0,https://solanart.io/search/?token=E4u9HUJ97btnYQHGzJfVSp3P85W3AgVrapEiRDhNcubw,Light,XRay,Alert Blue,XRay Quiet,Octopus,Butterflies
237,75,287,0,https://solanart.io/search/?token=GbCTUevMJQXsm2WiB7bFUrE4mmRPr5Yo4ziLQ2Z8vsQk,Orange Shroom,Skelly,420 Glasses,Skull Quiet,Solar System,Black Robe
255,48.900002,1260,0,https://solanart.io/search/?token=DVT9VFx5Dwz8a2Pd1WiHci5Ha5xdNigAJbod4jgcipNJ,Red Tryptamine,Gold,3D Glasses,Tats,Fedora,Tux Shirt
283,25.690001,7189,4.21,https://solanart.io/search/?token=74XLn94uqWa3uENz2Pe4av7TPFpRzYtjFRV6wwKk79RT,Sunset,Drippy Pink,Rainbow Shades,Face Melt,Valhalla Helm,I _3 Chorles
286,70,6835,0,https://solanart.io/search/?token=3vuWEinqkYrewt7B42oduZJtLBtAk1LLJKrApCo8QzkR,Watercolor,Purple Tryptamine,Alert Blue,Balloon Purple,Mad Hatter,I _3 Chorles
306,23,2255,50.87,https://solanart.io/search/?token=7EuAXsZEY9FYJF1Fg16z9k6VLYnDXUNqoUDWjdWkJLn8,Shroom,Purple Paranoia,Stoned,Acid Tab,Solar System,TyeDye
320,69.690002,8056,0,https://solanart.io/search/?token=4EkF65R9L5pnGdPehyjDKpqjz3GKppMUYsj6uhgevkwh,Sky Blue,Drippy Blue,Spaced Out,Gold Grill,Paisley Cowboy,Coogi
332,33.25,2188,0,https://solanart.io/search/?token=Cea4daRaGfe1gYJYvWHXrnZrMafBviriWFirU71NFE8C,Lava Purple,Feathers,Blue Shades,Quiet,Beanie,Mad Scientist
361,47.5,2036,0,https://solanart.io/search/?token=6GoU336TWEPgikoXr5zpzsG9bxJcdhikCZ44UcDnGPdq,Mulberry Shroom,Purple Tryptamine,Stoned,Shroom,,Coogi
400,50,9832,0,https://solanart.io/search/?token=FbRGbLogXQkaVY5RvnxJjiNEjw9TpyUcQQW94GTWgcqh,Beige,Marble,Wired,Shout,Field Hat,I _3 Chorles
425,85,3069,0,https://solanart.io/search/?token=9GoaamBeRACL8UcRBWk5v8hXRCx8aGuhaFSrnjfsh8kz,Mint,Blue Paranoia,Blue Hypno,Eyeball,Fedora,Hoodie
472,35,1305,0,https://solanart.io/search/?token=Fsi2SQoH5myqYhdt1JBPpr5arsS95bHjiXa2PttCphSs,Beige,Gold,Blue Hypno,Fangs,Solar System,Varsity
476,19.9,7893,59.29,https://solanart.io/search/?token=DLqQBMXWqzZWdPLBb4EmMi36hY7cbdm8PAEufrc4hCXE,Mint,Swirls,Alert Red,Shout,Paisley Cowboy,Suspenders
540,24.2069,1836,40.48,https://solanart.io/search/?token=3LasY7MqBv5Vzi3Q1vjRjDqDDzxv4MJe75JpP4vSKKAA,Green Shroom,Galaxy Trypophobia,3D Glasses,Gold Grill,Banana Split,Purple Tank
570,45,6241,0,https://solanart.io/search/?token=F2Cex6Q5qNt6c9SPNnEBsGd6mDffWVcwuZgX7eRg18BK,Dark Shroom,Purple Tryptamine,Rainbow Shades,Snarl,Valhalla Helm,Bat Country
576,62,1659,0,https://solanart.io/search/?token=Arbaz4cjjJx3nYqkfMUoGequhkU5eniGbqnR5Grs9mQh,Lime,Inferno Trypophobia,Aviators,Fangs,Valhalla Helm,Psychonaut
587,170,478,0,https://solanart.io/search/?token=FtThEee8pu6DpM3id6w9ya93AFX19tGVnBC8DiUP6i9Y,Blue Tryptamine,Skelly,Alert Blue,Skull Quiet,Shroom Cap,Coogi
590,47,2665,0,https://solanart.io/search/?token=Hmrcoztwk2i4wnLaMw6LzQXHRPuRowQALQMb96MBnZrp,Light,Feathers,Scuba Glasses,Shout,Paisley Cowboy,Suspenders
607,65,1117,0,https://solanart.io/search/?token=5c4QU3ZuAXJ7AjBJ763Ndmz1Jq1n692J6LQz98HaGZmM,Mint,Infrared Trypophobia,3D Glasses,Solana Quiet,Mind Blown,Suspenders
613,70,9762,0,https://solanart.io/search/?token=4hap9er6i5jcGKDHueSPLKYphbJEg2bysyEi2neja7Mj,Lilac,Blue Tryptamine,Sus,Gold Grill,Beanie,Tribal
614,26,6882,2.34,https://solanart.io/search/?token=CjoSL7j6qWAgyWp4LuszLqGf1DM2KaXaApk5ZPyoi57V,Lilac,Purple Paranoia,Sus,Gold Grill,Fedora,White Robe
626,130.626007,1854,0,https://solanart.io/search/?token=FaZpbkJDneNB27PP1eFz1ZuoVnD3YBkxt1UdPKFPR7CY,Purple,Phoenix,Pop Out,Tats,Banana Split,TyeDye
636,85,1948,0,https://solanart.io/search/?token=53zD2BNm3oRJUkHXYkazthKppLpEtKKzYSEwv7Vsgzqe,Lava Green,Swirls,Pop Out,Shout,White Bucket,White Rabbit
640,29,9501,0,https://solanart.io/search/?token=HSmj7QdgEWtZTfcR82He3iMMZLqBPhRUnwzr6yP3Ruiz,Beige,Marble,Wired,Quiet,Shroom Cap,Groovy Blue
706,66,1113,0,https://solanart.io/search/?token=EYquYuGkAe8o51VG94n3FohS4Hn85BeFmgUi4XTKEXrQ,Sand,Feathers,Alert Red,Snarl,Octopus,Psychonaut
717,30,4129,0,https://solanart.io/search/?token=4j7NCtWi5gdFtroHzxmnumopUAe3s3rt4TZZdVN9fZgJ,Sunset,Purple Paranoia,Alert Blue,Snarl,Apesolem,Birthday Suit
736,40,474,0,https://solanart.io/search/?token=6UAdH1wB6FP7SV7qmUiCUbGf1euJ4jQ8NxEMmzNXGEj5,Green Flower,Gold,Pop Out,Balloon Blue,Valhalla Helm,Tux Shirt
738,35,638,0,https://solanart.io/search/?token=8Gd7fEr8ywHVjNffic1Z6rzBXuDN8ThRxFiwHMF98twZ,Lilac,Gummy,Blue Hypno,Eyeballs,Solar System,Kimono
741,270,4504,0,https://solanart.io/search/?token=HpWPZqVTEXG4HZmfCzfUmjjAMynv8JuF1pTWuZFi9o9S,Peach Flower,Gummy,3D Glasses,Snarl,,Mad Hatter
747,45,1783,0,https://solanart.io/search/?token=GmD7TN37TkaeRqwZGeHjb4qgFuWM3qNHLrPwgkXNxNv9,Dark Shroom,Marble,Rainbow Shades,Solana Quiet,Mohawk,Butterflies
802,27.799999,4910,0,https://solanart.io/search/?token=5RZMs9by61pCrX2nHmKwx3GF4XjUDTMwgGcMbyAaQXtk,Red Tryptamine,Infrared Trypophobia,Rainbow Bliss,Fangs,Third Eye,I _3 Chorles
